,tweet_text,emotion_in_tweet_is_directed_at,Sentiment,brand,processed_text,predicted_sentiment
25,"RT @LaurieShook: I'm looking forward to the #SMCDallas pre #SXSW party Wed., and hoping I'll win an #iPad resulting from my shameless promotion.  #ChevySMC",iPad,1.0,Apple,rt  im look forward smcdalla pre sxsw parti wed   hope ill win ipad result shameless promot  chevysmc,Positive
26,"RT haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw (via @michaelpiliero)",iPad or iPhone App,1.0,Apple,rt haha  awesom rad ipad app hollergram sxsw  via ,Positive
27,"someone started an #austin @PartnerHub group in google groups, pre-#sxsw. great idea",Other Google product or service,1.0,Google,someon start austin group googl group  pre  sxsw  great idea,Positive
28,The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight http://bit.ly/etsbZk #SXSW #KeepAustinWeird,iPad or iPhone App,1.0,Apple,new sq look like go rock  updat iphon android push tonight sxsw keepaustinweird,Positive
29,"They were right, the @gowalla 3 app on #android is sweeeeet! Nice job by the team there. #sxsw",Android App,1.0,Android,right   app android sweeeeet  nice job team  sxsw,Positive
30,Very smart from @madebymany #hollergram iPad app for #sxsw! http://t.co/A3xvWc6 (may leave my vuvuzela at home now),iPad or iPhone App,1.0,Apple,smart hollergram ipad app sxsw   may leav vuvuzela home ,Positive
31,You must have this app for your iPad if you are going to #SXSW http://itunes.apple.com/us/app/holler-gram/id420666439?mt=8 #hollergram,iPad or iPhone App,1.0,Apple,must app ipad go sxsw hollergram,Positive
32,"Attn: All  #SXSW frineds, @mention Register for #GDGTLive  and see Cobra iRadar for Android. {link}",N/A,2.0,N/A,attn  sxsw frine  regist gdgtlive see cobra iradar android   link ,Neutral
33,Anyone at  #sxsw want to sell their old iPad?,N/A,2.0,N/A,anyon sxsw want sell old ipad ,Neutral
34,Anyone at  #SXSW who bought the new iPad want to sell their older iPad to me?,N/A,2.0,N/A,anyon sxsw bought new ipad want sell older ipad ,Neutral
35,"At #sxsw.  Oooh. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link}",N/A,2.0,N/A,sxsw  oooh  rt googl launch major new social network call circl  possibl today  link ,Neutral
36,The best!  RT @mention Ha! First in line for #ipad2 at #sxsw &quot;pop-up&quot; Apple store was an event planner #eventprofs #pcma #engage365,iPad,1.0,Apple,best  rt ha  first line ipad sxsw  popup  appl store event planner eventprof pcma engag,Positive
37,SPIN Play - a new concept in music discovery for your iPad from @mention &amp; spin.com {link} #iTunes #sxsw @mention,N/A,2.0,N/A,spin play  new concept music discoveri ipad  spincom  link  itun sxsw,Neutral
38,@mention  - False Alarm: Google Circles Not Coming Nowand Probably Not Ever? - {link} #Google #Circles #Social #SXSW,Google,0.0,Google, fals alarm  googl circl come nowand probabl ever    link  googl circl social sxsw,Neutral
39,VatorNews - Google And Apple Force Print Media to Evolve? {link} #sxsw,N/A,2.0,N/A,vatornew  googl appl forc print media evolv   link  sxsw,Neutral
40,@mention  - Great weather to greet you for #sxsw! Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2,Apple,1.0,Apple, great weather greet sxsw  still need sweater night  appl put  flash store  downtown sell ipad ,Positive
41,"HootSuite - HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android: Whether youre getting friend... {link}",N/A,2.0,N/A,hootsuit  hootsuit mobil sxsw  updat iphon  blackberri  android  whether your get friend   link ,Neutral
42,Hey #SXSW - How long do you think it takes us to make an iPhone case? answer @mention using #zazzlesxsw and well make you one!,N/A,2.0,N/A,hey sxsw  long think take us make iphon case  answer use zazzlesxsw well make one ,Neutral
43,Mashable! - The iPad 2 Takes Over SXSW [VIDEO] #ipad #sxsw #gadgets {link},N/A,2.0,N/A,mashabl   ipad  take sxsw  video  ipad sxsw gadget  link ,Neutral
44,For I-Pad ?RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by ... {link},N/A,2.0,N/A,ipad  rt new ubersoci iphon app store includ uberguid sxsw sponsor   link ,Unknown
45,Hand-Held Hobo: Drafthouse launches Hobo With a Shotgun iPhone app #SXSW {link},N/A,1.0,N/A,handheld hobo  drafthous launch hobo shotgun iphon app sxsw  link ,Positive
46,HOORAY RT @mention Apple Is Opening A Pop-Up Store In Austin For #SXSW | @mention {link},Apple,1.0,Apple,hooray rt appl open popup store austin sxsw   link ,Positive
47,Orly....? @mention Google set to launch new social network #Circles today at #sxsw,N/A,2.0,N/A,orli   googl set launch new social network circl today sxsw,Neutral
48,wooooo!!! @mention Apple store downtown Austin open til Midnight. #sxsw,Apple,1.0,Apple,wooooo    appl store downtown austin open til midnight  sxsw,Unknown
49,Khoi Vinh (@mention says Conde Nast's headlong rush into iPad publishing was a &quot;fundamental misunderstanding&quot; of the platform #sxsw,N/A,2.0,N/A,khoi vinh  say cond nast headlong rush ipad publish  fundament misunderstand  platform sxsw,Neutral
50,"@mention {link} &lt;-- HELP ME FORWARD THIS DOC to all Anonymous accounts, techies,&amp; ppl who can help us JAM #libya #SXSW",N/A,2.0,N/A, link   help forward doc anonym account  techi   ppl help us jam libya sxsw,Neutral
51, WHAT? _ {link} _ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,N/A,2.0,N/A,   link   edchat musedchat sxsw sxswi classic newtwitt,Neutral
52,".@mention @mention on the location-based 'fast, fun and future' - {link} (via @mention #sxsw",N/A,2.0,N/A, locationbas  fast  fun futur    link   via sxsw,Neutral
53,@mention @mention #Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxsw @mention,N/A,2.0,N/A,googl connect digit  physic world mobil   link  sxsw,Neutral
54,@mention @mention talking about {link} - Google's effort to allow users to have open systems #bettercloud #sxsw,Google,1.0,Google,talk  link   googl effort allow user open system bettercloud sxsw,Neutral
55,"{link} RT @mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.",N/A,2.0,N/A, link  rt  googl tweet  new  think speak    mark belinski  tweet panel sxsw ,Neutral
56,{link} RT @mention 1st stop on the #SXSW #Chaos &amp; @mention hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!,iPad,1.0,Apple, link  rt st stop sxsw chao  hunt  austin java  get spi game  chanc  win ipad ,Neutral
57,{link} RT @mention Those at #SXSW check out the Holler Gram ipad app from @mention  {link},N/A,2.0,N/A, link  rt sxsw check holler gram ipad app  link ,Positive
58,@mention  @mention &amp;  @mention having fun at #google [pic] #SXSW {link},N/A,2.0,N/A, fun googl  pic  sxsw  link ,Positive
59,&quot;via @mention : {link} Guy Kawasaki talks 'Enchanted' at SXSW - HE knows his stuff! #books #internet #Apple #sxsw  &quot;,N/A,2.0,N/A, via   link  guy kawasaki talk  enchant  sxsw  know stuff  book internet appl sxsw ,Neutral
60,"#futuremf @mention {link} spec for recipes on the web, now in google search: {link}  #sxsw",N/A,2.0,N/A,futuremf  link  spec recip web  googl search   link  sxsw,Neutral
61,"#Smile RT @mention I think Apple's &quot;pop-up store&quot; in Austin would be a lot more interesting if it actually, you know... popped up #sxsw",Apple,2.0,Apple,smile rt think appl  popup store  austin would lot interest actual  know  pop sxsw,Neutral
62,Again? RT @mention Line at the Apple store is insane.. #sxsw,N/A,0.0,N/A, rt line appl store insan  sxsw,Neutral
63,Agree. RT @mention Wait. FIONA APPLE is in town??? Somebody kidnap her and put her in a recording studio until she records a new album. #sxsw,N/A,2.0,N/A,agre  rt wait  fiona appl town    somebodi kidnap put record studio record new album  sxsw,Neutral
64,At #sxsw? @mention / @mention wanna buy you a drink. 7pm at Fado on 4th. {link} Join us!,N/A,2.0,N/A,sxsw   wanna buy drink  pm fado th   link  join us ,Neutral
65,attending @mention iPad design headaches #sxsw {link},iPad,0.0,Apple,attend ipad design headach sxsw  link ,Neutral
66,"Boooo! RT @mention Flipboard is developing an iPhone version, not Android, says @mention #sxsw",N/A,0.0,N/A,boooo  rt flipboard develop iphon version  android  say sxsw,Neutral
67,Check out @mention @mention &amp; @mention in line for their iPad 2 in Austin. Power to them! #sxswi #SXSW  {link},iPad,1.0,Apple,check  line ipad  austin  power  sxswi sxsw  link ,Neutral
68,Check! RT @mention giving added value to location based services needs to battle check-in fatigue #google #pnid #sxsw,N/A,2.0,N/A,check  rt give ad valu locat base servic need battl checkin fatigu googl pnid sxsw,Neutral
69,Chilcott: @mention #SXSW stand talking with Blogger staff. Too late to win competition for best tweet mentioning @mention So no t-shirt.,N/A,2.0,N/A,chilcott  sxsw stand talk blogger staff  late win competit best tweet mention tshirt ,Neutral
70,"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!",Google,1.0,Google, rt come parti w  googl tonight sxsw   link   band  food  art  ice cream  nifti interact map ,Neutral
71,Gowalla's @mention promises to launch Foursquare check-in + Groupon rewards-type service at #SXSW. Finger's crossed. {link},N/A,2.0,N/A,gowalla promis launch foursquar checkin  groupon rewardstyp servic sxsw  finger cross   link ,Neutral
72,"Ha.ha. RT @mention #SXSW News: Yahoo.com is loosing search traffic to new site, Google.com. Doubt it will last tho w/ that weird name.",N/A,2.0,N/A,haha  rt sxsw news  yahoocom loos search traffic new site  googlecom  doubt last tho w  weird name ,Neutral
73,Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,Google,1.0,Google,holla  rt googl parti  best ever  get butt  sxsw,Positive
74,I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail,iPhone,1.0,Apple,love iphon case sxsw cant get phone fail,Positive
75,I worship @mention {link} #SXSW,N/A,2.0,N/A,worship  link  sxsw,Neutral
76,"iPad2? RT @mention Droid &amp; Mac here :) RT @mention My #agnerd confession, using laptop, iPad &amp; blackberry to follow #SXSW",N/A,2.0,N/A,ipad   rt droid  mac  rt agnerd confess  use laptop  ipad  blackberri follow sxsw,Neutral
77,"Launching @mention #SxSW? RT @mention @mention Denies Social Network Called Circles Will Debut Today, Despite Report {link}",N/A,2.0,N/A,launch sxsw  rt deni social network call circl debut today  despit report  link ,Neutral
78,New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet  {link} #sxsw,iPad or iPhone App,1.0,Apple,new post  iphon app make easi connect social network peopl meet  link  sxsw,Neutral
79,Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw,iPad or iPhone App,1.0,Apple,nice iphon app behav today  crash yesterday ridicul  sxsw,Positive
80,Nice!  RT @mention Apple opening popup store for iPad launch in downtown Austin during #SXSW {link} via @mention,N/A,2.0,N/A,nice  rt appl open popup store ipad launch downtown austin sxsw  link  via,Positive
81,"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",Apple,1.0,Apple,nice   rt hey  appl fan  get peek space that slate popup sxsw appl store tomorrow   link ,Positive
82,"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi",Google,1.0,Google,one thing great get great  earth face googl compani  love sxsw sxwsi,Positive
83,Stay tune @mention showcase #H4ckers {link} #SXSW,N/A,2.0,N/A,stay tune showcas hcker  link  sxsw,Neutral
84,Thank you @mention @mention for the #touchingstories preso #SXSW . Here's their deck {link},N/A,2.0,N/A,thank touchingstori preso sxsw  here deck  link ,Neutral
85,Thank you @mention for an awesome #sxsw party! {link},N/A,2.0,N/A,thank awesom sxsw parti   link ,Positive
86,"Thanks RT @mention If you're trying to contact friends or family in #Japan, @mention has created a person finder: {link} #SXSW",N/A,2.0,N/A,thank rt your tri contact friend famili japan  creat person finder   link  sxsw,Neutral
87,Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. {link} #sxswh #sxsh,iPad or iPhone App,1.0,Apple,thank mention new speech ipad app showcas sxsw conf   link  sxswh sxsh,Neutral
88,Thanks to @mention for publishing the news of @mention new medical Apps at the #sxswi conf. blog {link} #sxsw #sxswh,N/A,2.0,N/A,thank publish news new medic app sxswi conf  blog  link  sxsw sxswh,Neutral
89,Thanks to @mention for publishing the news of our new medical Apps in the #sxswi conf. blog {link} #sxsw #sxswh #mhealth,N/A,2.0,N/A,thank publish news new medic app sxswi conf  blog  link  sxsw sxswh mhealth,Neutral
90,What !?!? @mention  #SXSW does not provide iPhone chargers?!?  I've changed my mind about going next year!,iPhone,0.0,Apple,    sxsw provid iphon charger    ive chang mind go next year ,Unknown
91,Wonder if @mention &amp; @mention will be in the apple flashmob: tcrn.ch/fcs45j #SXSW #ipad2,N/A,2.0,N/A,wonder  appl flashmob  tcrnchfcsj sxsw ipad,Neutral
92,Wonder if @mention is putting tips from the @mention API... #SxSW #SUxSW,N/A,2.0,N/A,wonder put tip api  sxsw suxsw,Neutral
93,"XMAS!! RT @mention Shiny new @mention @mention @mention apps, a new @garyvee book, pop-up iPad 2 stores... #SXSW is Christmas for nerds.",iPad,1.0,Apple,xma   rt shini new app  new book  popup ipad  store  sxsw christma nerd ,Positive
94,Yai!!! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by (cont) {link},iPhone,1.0,Apple,yai    rt new ubersoci iphon app store includ uberguid sxsw sponsor  cont   link ,Positive
95,"Yes!!! RT @mention hey @mention , i've got another gem for you --&gt; free @mention sxsw {link} #SXSW",N/A,2.0,N/A,ye    rt hey  ive got anoth gem  free sxsw  link  sxsw,Neutral
96,"Fast, Fun &amp; Future: @mention of Google presenting at #sxsw on search, local and mobile",Google,1.0,Google,fast  fun  futur  googl present sxsw search  local mobil,Neutral
97,GSD&amp;M &amp; Google's Industry Party Tonight @mention - See u there! {link} #SXSW #Austin #Welivehere #GSDM,N/A,2.0,N/A,gsd   googl industri parti tonight  see u   link  sxsw austin weliveher gsdm,Neutral
98,"New buzz? &quot;@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} rt @mention #sxsw&quot;",N/A,2.0,N/A,new buzz   googl launch major new social network call circl  possibl today  link  rt sxsw ,Neutral
99,Headline: &quot;#iPad 2 is the Must-Have Gadget at #SXSW&quot; Hmm... I could have seen that one coming! {link} #gadget,iPad,1.0,Apple,headlin   ipad  musthav gadget sxsw  hmm  could seen one come   link  gadget,Neutral
100,@mention &quot;Apple has opened a pop-up store in Austin so the nerds in town for #SXSW can get their new iPads. {link} #wow,N/A,2.0,N/A, appl open popup store austin nerd town sxsw get new ipad   link  wow,Positive
101,Know that &quot;dataviz&quot; translates to &quot;satanic&quot; on an iPhone. I'm just sayin'. #sxsw,N/A,0.0,N/A,know  dataviz  translat  satan  iphon  im sayin   sxsw,Neutral
102,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy",Google,1.0,Google,  googl launch checkin month ago   check in ok  check out futur  sxsw bizzi,Neutral
103,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy (via @mention",N/A,2.0,N/A,  googl launch checkin month ago   check in ok  check out futur  sxsw bizzi  via,Neutral
104,"@mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.",Google,1.0,Google, googl tweet  new  think speak    mark belinski  tweet panel sxsw ,Unknown
105,"Attending &quot;left brain search = Google, Right brain search = X&quot;  #Bettersearch  -- talking about the future of search engines at #sxsw",N/A,2.0,N/A,attend  left brain search  googl  right brain search  x  bettersearch   talk futur search engin sxsw,Neutral
106,"Kawasaki: &quot;Not C.S. Lewis level reasoning, but Apple's continued existence is evidence for the existence of God&quot; #bawling #sxsw",Apple,1.0,Apple,kawasaki   c   lewi level reason  appl continu exist evid exist god  bawl sxsw,Positive
107,Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment,N/A,2.0,N/A,kawasaki   pagemak save appl   oh day  sxsw jwtatl enchant,Neutral
108,Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment  via @mention,Apple,1.0,Apple,kawasaki   pagemak save appl   oh day  sxsw jwtatl enchant via,Neutral
109,Spark for #android is up for a #teamandroid award at #SXSW read about it here: {link},N/A,1.0,N/A,spark android teamandroid award sxsw read   link ,Neutral
110,"Unboxing. #Apple #sxsw  @mention Apple Store, SXSW {link}",N/A,2.0,N/A,unbox  appl sxsw appl store  sxsw  link ,Neutral
111,"#SXSW and #Apple iPad 2's are great, but thoughts are w/ Japan and APAC regions dealing w/ earthquake &amp; tsunami trauma. #sxswi",iPad,1.0,Apple,sxsw appl ipad   great  thought w  japan apac region deal w  earthquak  tsunami trauma  sxswi,Positive
112,"At #SXSW, #Apple schools the #marketing experts | SXSW - CNET Blogs {link}",N/A,2.0,N/A,sxsw  appl school market expert  sxsw  cnet blog  link ,Positive
113,"At #SXSW, #Apple schools the marketing experts - {link}",Apple,1.0,Apple,sxsw  appl school market expert   link ,Positive
114,"At #SXSW, #Apple schools the marketing experts {link}",N/A,2.0,N/A,sxsw  appl school market expert  link ,Positive
115,"Temporary #apple store is def not a tent, it's a powerhouse gym #SXSW  {link}",Apple,1.0,Apple,temporari appl store def tent  powerhous gym sxsw  link ,Positive
116,"Temporary #Apple store on 6th and Congress for #sxsw, along with 10,000 very happy hipsters.",Apple,1.0,Apple,temporari appl store th congress sxsw  along  happi hipster ,Positive
117,@mention #Apple wins #SXSW {link} Opening a temporary store in downtown Austin to support #iPad2 launch - That is good.,Apple,1.0,Apple,appl win sxsw  link  open temporari store downtown austin support ipad launch  good ,Positive
118,"Headed to #Austin for #SXSW? Check out my map for newbies {link} @mention @mention , @mention @mention Enjoy!",N/A,2.0,N/A,head austin sxsw  check map newbi  link   enjoy ,Neutral
119,Funny how #Austin is trending but not #SXSW. Only a matter of minutes at this point (at least according to Twitter for iPhone).,N/A,2.0,N/A,funni austin trend sxsw  matter minut point  least accord twitter iphon  ,Neutral
120,Christian #iPad #iPhone devs I want to talk to u at #sxsw or after -maybe we can wk together on cool app! @mention me,iPad or iPhone App,1.0,Apple,christian ipad iphon dev want talk u sxsw  mayb wk togeth cool app ,Positive
121,The Apple #iPAD2  has taken #SxSW and #Austin by storm.. {link}  @mention excited to a be a part #mobile,iPad,1.0,Apple,appl ipad taken sxsw austin storm   link  excit part mobil,Positive
122,I can haz #iPad2 ifrom #SxSW Gr8 {link},iPad,1.0,Apple,haz ipad ifrom sxsw gr  link ,Positive
123,"Stacks of #ipad2's waiting to be bought at #sxsw. I got mine, no hassle at all. Apple handled this perfectly {link}",iPad,1.0,Apple,stack ipad wait bought sxsw  got mine  hassl  appl handl perfectli  link ,Positive
124,"#Google's #Mobile Future, and the Elusive 'Power of Here' - {link} (via @mention #eurorscg #sxsw #sxswi",N/A,2.0,N/A,googl mobil futur  elus  power    link   via eurorscg sxsw sxswi,Neutral
125,"For those #notatSXSW (or at #SXSW), here's {link} Free to download and meet nearby peps",N/A,2.0,N/A,notatsxsw  sxsw   here  link  free download meet nearbi pep,Neutral
126,Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link}  #seo #sxsw,N/A,1.0,N/A,smallbiz need review play googl place  got app   link  seo sxsw,Neutral
127,Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link} #seo #sxsw,N/A,2.0,N/A,smallbiz need review play googl place  got app   link  seo sxsw,Neutral
128,"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW",N/A,2.0,N/A,samsung  soni follow appl  hp lead  link  austin atx sxsw,Neutral
129,"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW /via @mention ^rg",N/A,2.0,N/A,samsung  soni follow appl  hp lead  link  austin atx sxsw  via  rg,Neutral
130,"Take that #SXSW ! RT @mention Major South Korean director gets $130,000 to make a movie entirely with his iPhone. {link}",iPhone,1.0,Apple,take sxsw  rt major south korean director get   make movi entir iphon   link ,Positive
131,"Beautiful #sxsw (@mention Apple Store, SXSW) [pic]: {link}",Apple,1.0,Apple,beauti sxsw  appl store  sxsw   pic   link ,Positive
132,Q1 Was at #sxsw #sxswi for prep. Amazing pre push locally. Focus on location based. Google owns 10% of the regions billboards. #pr20chat,N/A,2.0,N/A,q sxsw sxswi prep  amaz pre push local  focu locat base  googl own   region billboard  prchat,Positive
133,Any other #Sxsw accounts I need to follow or apps to download for iPhone?,N/A,2.0,N/A,sxsw account need follow app download iphon ,Neutral
134,Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a business card broadcaster.,N/A,2.0,N/A,head sxsw want share  gather contact info   link  turn iphon busi card broadcast ,Neutral
135,Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a... {link},N/A,2.0,N/A,head sxsw want share  gather contact info   link  turn iphon   link ,Neutral
136,BTW - The #sxsw Apple store is sold out of all 3G models (VZW &amp; AT&amp;T).,N/A,2.0,N/A,btw  sxsw appl store sold g model  vzw    ,Neutral
137,Must have #SXSW app! RT @mention Lovely review from Forbes for our SXSW iPad app Holler Gram - {link},iPad or iPhone App,1.0,Apple,must sxsw app  rt love review forb sxsw ipad app holler gram   link ,Positive
138,Temporary #sxsw apple store. Apple being sneaky as usual  {link},Apple,1.0,Apple,temporari sxsw appl store  appl sneaki usual  link ,Positive
139,Anyone at #sxsw been by the pop-up Apple store in Austin? That's gotta be a hopping place today.,N/A,2.0,N/A,anyon sxsw popup appl store austin  that gotta hop place today ,Neutral
140,@mention #sxsw beta testing interactive book for iPad app by Moonbot studios out of Louisiana.  Cool app.,iPad or iPhone App,1.0,Apple,sxsw beta test interact book ipad app moonbot studio louisiana  cool app ,Positive
141,Apple won #SxSW from day one. Seeing a TON of #iPad2,iPad,1.0,Apple,appl sxsw day one  see ton ipad,Positive
142,Anyone at #sxsw had a chance to check out the pop-up Apple store? Wondering if it is worth the trek from the convention center...,N/A,2.0,N/A,anyon sxsw chanc check popup appl store  wonder worth trek convent center ,Neutral
143,@mention #sxsw ipad store sold out of everything except 64gig wifi only white @mention Did you manage to get yours?,iPad,1.0,Apple,sxsw ipad store sold everyth except gig wifi white manag get ,Positive
144,@mention #sxsw ipad store sold out of everything except 64gig wifi only white also known as the white jeans configuration.,iPad,1.0,Apple,sxsw ipad store sold everyth except gig wifi white also known white jean configur ,Positive
145,Offered a #sxsw ipad promo to ninjafinder users and fans who are not here at #sxsw. Sucks to not be here. #sxsw,iPad,1.0,Apple,offer sxsw ipad promo ninjafind user fan sxsw  suck  sxsw,Positive
146,@mention  #SXSW is an Austin conference. Do a google search - they have interactive / music / film.,N/A,2.0,N/A,sxsw austin confer  googl search  interact  music  film ,Neutral
147,Anyone at #sxsw know if apple will be (or is) selling ipad 2 there?,N/A,2.0,N/A,anyon sxsw know appl   sell ipad  ,Neutral
148,Anyone at #SXSW know if the apple store has had a new shipment of iPads yet?,N/A,2.0,N/A,anyon sxsw know appl store new shipment ipad yet ,Neutral
